Locations,Count,Country,State,State ID,County,County Fips,lat,lng,AI Exposure - State,AI Exposure - County,Population - City,Density - City
Porto Alegre,1,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Victoria,1,Seychelles,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Ferdericton,1,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Dakar,1,Senegal,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Florianópolis,1,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Louisville,1,United States,Kentucky,KY,Jefferson,21111,38.1663,-85.6485,0.4900968,0.5960811,963812,923.1
Huntsville,1,United States,Alabama,AL,Madison,1089,34.6981,-86.6412,0.5171078,1.530059,349482,376.2
Lima,1,Peru,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Malmo,1,Sweden,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Brasilia,1,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Selangor,1,Malaysia,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
